12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
BL273240,BL276610,BL264630,BL268255,BL257672,BL243812,BL262837,BL321283
BL268313,BL278129,BL265742,BL267819,BL249185,BL243779,BL264277,BL321651
BL268576,BL282154,BL267174,BL265961,BL252803,BL244143,BL264562,BL322278
BL269624,BL285458,BL265748,BL264277,BL249193,BL251721,BL264630,BL254713
BL270193,BL277717,BL267859,BL267827,BL263096,BL262593,BL268525,BL255241
BL268909,BL283048,BL265415,BL264270,BL263658,BL268375,BL268988,BL255284
BL249678,BL272504,BL268255,BL264833,BL258313,BL267931,BL263622,BL267016
BL250867,BL283540,BL264277,BL268211,BL262837,BL264262,BL264386,BL267174
BL248414,BL277177,BL265142,BL268220,BL260471,BL264269,BL265493,BL267819
BL249434,BL292721,BL264270,BL266251,BL264030,BL265469,BL263923,BL267827
BL269824,BL273705,BL264262,BL268221,BL255714,BL268988,BL266024,BL267931
BL268187,BL278225,BL266676,BL264262,BL258305,BL265493,BL269624,BL268187
BL267931,BL291377,BL264833,BL264630,BL262812,BL269624,BL262450,BL268201
BL268211,BL292894,BL267169,BL262947,BL252657,BL264384,BL256669,BL268220
BL271396,BL279559,BL266251,BL266676,BL252667,BL268525,BL262812,BL268221
BL269519,BL285067,BL268313,BL266406,BL262450,BL265955,BL268292,BL268223
BL269518,BL285607,BL265203,BL265742,BL267169,BL256250,BL267169,BL268292
BL268514,BL293381,BL266024,BL266024,BL268221,BL256669,BL267174,BL268313
BL269238,BL268292,BL267819,BL268292,BL264572,BL265827,BL263096,BL248205
BL258361,BL268988,BL268493,BL268493,BL268211,BL268292,BL263445,BL248517
BL257455,BL268313,BL264940,BL269082,BL268220,BL264270,BL264269,BL249185
BL257672,BL272620,BL262804,BL263002,BL265961,BL263002,BL264270,BL249221
BL258570,BL268576,BL263002,BL262812,BL264270,BL263445,BL264940,BL249434
BL255714,BL271576,BL262809,BL258361,BL268255,BL264940,BL281230,BL249678
BL269186,BL276900,BL262812,BL262809,BL265955,BL274101,BL283316,BL249838
BL270353,BL277400,BL242468,BL244847,BL267819,BL280251,BL276826,BL249938
BL266024,BL251803,BL252803,BL249434,BL267827,BL283316,BL282786,BL250103
BL265415,BL270456,BL249938,BL252803,BL264277,BL274107,BL285328,BL256630
BL266977,BL269238,BL249193,BL249193,BL265742,BL276826,BL284815,BL256669
BL269082,BL269515,BL249434,BL249678,BL265415,BL285266,BL282346,BL256794
BL269782,BL266039,BL258313,BL235542,BL264833,BL282346,BL299530,BL279790
BL264262,BL270111,BL264030,BL258313,BL265142,BL311009,BL309413,BL276610
BL266039,BL269805,BL262090,BL262268,BL264262,BL297911,BL309430,BL281230
BL270111,BL269519,BL263112,BL264030,BL267174,BL295940,BL291377,BL276900
BL270456,BL201089,BL277509,BL263445,BL264630,BL293381,BL295940,BL276960
BL268220,BL257672,BL270353,BL270353,BL266251,BL291377,BL294854,BL277057
BL267169,BL257455,BL272187,BL272187,BL268493,BL282871,BL299971,BL282786
BL272620,BL258313,BL270579,BL277057,BL268313,BL294854,BL287002,BL282828
BL274109,BL255714,BL277057,BL271539,BL266024,BL301737,BL293381,BL282856
BL276826,BL268829,BL271889,BL272555,BL264940,BL299971,BL294010,BL282871
BL271080,BL269464,BL269624,BL272558,BL262804,BL285059,BL299117,BL283048
