ticker,date,pred,side,close,trgt,name,cpn,maturity,t1,signal,profit_take,stop_loss
AP524368,2021-01-28,1.0,1.0,93.14,0.027709011752576198,VRI,8.75,2023-04-15,2021-02-07,0.25,95.72081735463495,87.97836529073011
AS367429,2021-01-28,1.0,1.0,89.67,0.041773769059492795,WEWORK,7.875,2025-05-01,2021-02-07,0.25,93.41585387156472,82.17829225687056
AO337996,2021-01-28,1.0,1.0,92.95,0.055207256331696854,NGL,7.5,2023-11-01,2021-02-07,0.2,98.08151447603122,82.68697104793755
EJ023585,2021-01-28,1.0,-1.0,94.62,0.010615034469574784,RPLLLC,7.75,2022-04-01,2021-02-07,-0.15000000000000002,93.61560543848884,96.62878912302234
