ticker,date,pred,side,close,trgt,name,cpn,maturity,t1,signal,profit_take,stop_loss
EJ444912,2021-02-02 21:25:44,1.0,1.0,98.5,0.01365622342265429,M,2.875,2023-02-15 00:00:00.000000,2021-02-12 15:14:24.730790,0.8,99.84513800713144,95.80972398573711
BK128013,2021-02-02 21:31:02,1.0,1.0,109.0,0.02433863103571957,DCP,5.625,2027-07-15 00:00:00.000000,2021-02-12 15:14:24.730790,0.45,111.65291078289344,103.69417843421313
AO181459,2021-02-03 20:06:45,1.0,1.0,100.78,0.01586434049090177,AM,5.375,2024-09-15 00:00:00.000000,2021-02-12 15:14:24.730790,0.4,102.37880823467309,97.58238353065383
AL094029,2021-02-02 20:50:48,1.0,1.0,95.033,0.031824260993142985,OXY,3.0,2027-02-15 00:00:00.000000,2021-02-12 15:14:24.730790,0.35000000000000003,98.05735499496136,88.98429001007729
AO040513,2021-02-02 19:26:12,1.0,1.0,99.0,0.031072225784835608,CMLP,5.75,2025-04-01 00:00:00.000000,2021-02-12 15:14:24.730790,0.2,102.07615035269873,92.84769929460255
ZR630910,2021-02-03 15:45:10,1.0,1.0,110.53,0.023479538165615793,OXY,6.95,2024-07-01 00:00:00.000000,2021-02-12 15:14:24.730790,0.2,113.12519335344552,105.33961329310898
AO337996,2021-02-04 14:39:48,1.0,1.0,93.5,0.03953102599440034,NGL,7.5,2023-11-01 00:00:00.000000,2021-02-12 15:14:24.730790,0.1,97.19615093047643,86.10769813904713
ZP300076,2021-02-03 21:45:11,1.0,1.0,92.5,0.07341922213981643,LPI,9.5,2025-01-15 00:00:00.000000,2021-02-12 15:14:24.730790,0.05,99.29127804793302,78.91744390413396
