ticker,date,pred,side,close,trgt,name,cpn,maturity,ISIN,t1,score,signal,profit_take,stop_loss
AU307195,2021-02-09 14:16:12,1.0,1.0,75.5,0.03,NBR,5.75,2025-02-01 00:00:00,US62957HAF29,2021-02-19 14:16:12,0.83,0.6,77.58,69.27
AZ988248,2021-02-08 16:43:17,1.0,1.0,99.12,0.02,OXY,1.67,2022-08-15 00:00:00,US674599CQ64,2021-02-18 16:43:17,0.76,0.45,101.14,93.09
AO654246,2021-02-11 16:43:03,1.0,1.0,90.0,0.07,GPOR,6.0,2024-10-15 00:00:00,US402635AH93,2021-02-21 16:43:03,0.69,0.3,95.98,72.05
QZ203555,2021-02-11 13:58:55,1.0,1.0,100.83,0.01,MUR,6.88,2024-08-15 00:00:00,US626717AH56,2021-02-21 13:58:55,0.7,0.3,102.33,96.32
AN418126,2021-02-09 12:21:39,1.0,1.0,76.75,0.07,CPE,6.12,2024-10-01 00:00:00,US13123XAT90,2021-02-19 12:21:39,0.6,0.25,81.91,61.28
AO654249,2021-02-11 16:43:34,1.0,1.0,90.25,0.08,GPOR,6.38,2025-05-15 00:00:00,US402635AL06,2021-02-21 16:43:34,0.62,0.2,97.44,68.67
EK860033,2021-02-10 15:13:05,1.0,1.0,82.52,0.03,CPE,6.25,2023-04-15 00:00:00,US144577AH67,2021-02-20 15:13:05,0.62,0.1,84.85,75.55
