ticker,date,pred,side,close,trgt,name,cpn,maturity,ISIN,t1,score,signal,profit_take,stop_loss
AU307195,2021-02-08 14:09:23,1.0,1.0,75.5,0.02,NBR,5.75,2025-02-01 00:00:00,US62957HAF29,2021-02-18 14:09:23,0.81,0.7,77.34,69.97
AO654246,2021-02-04 15:07:20,1.0,1.0,79.0,0.05,GPOR,6.0,2024-10-15 00:00:00,US402635AH93,2021-02-14 15:07:20,0.76,0.45,82.89,67.34
AO654249,2021-02-04 13:43:47,1.0,1.0,79.0,0.08,GPOR,6.38,2025-05-15 00:00:00,US402635AL06,2021-02-14 13:43:47,0.67,0.3,85.44,59.67
AN418126,2021-02-04 14:48:41,1.0,1.0,72.56,0.08,CPE,6.12,2024-10-01 00:00:00,US13123XAT90,2021-02-14 14:48:41,0.62,0.2,78.08,56.02
AO602067,2021-02-05 10:12:13,1.0,1.0,73.5,0.04,WPG,6.45,2024-08-15 00:00:00,US939648AE19,2021-02-15 10:12:13,0.6,0.15,76.12,65.64
AZ988248,2021-02-08 16:43:17,1.0,1.0,99.12,0.02,OXY,1.67,2022-08-15 00:00:00,US674599CQ64,2021-02-18 16:43:17,0.55,0.1,101.14,93.09
