ticker,date,pred,side,close,trgt,name,cpn,maturity,ISIN,t1,score,signal,profit_take,stop_loss
AU307195,2021-02-05 11:06:47,1.0,1.0,73.25,0.02,NBR,5.75,2025-02-01 00:00:00,US62957HAF29,2021-02-15 11:06:47,0.77,0.8,74.81,68.56
AO654246,2021-02-04 15:07:20,1.0,1.0,79.0,0.05,GPOR,6.0,2024-10-15 00:00:00,US402635AH93,2021-02-14 15:07:20,0.73,0.4,82.89,67.34
AO654249,2021-02-04 13:43:47,1.0,1.0,79.0,0.08,GPOR,6.38,2025-05-15 00:00:00,US402635AL06,2021-02-14 13:43:47,0.65,0.25,85.44,59.67
AN418126,2021-02-04 14:48:41,1.0,1.0,72.56,0.08,CPE,6.12,2024-10-01 00:00:00,US13123XAT90,2021-02-14 14:48:41,0.61,0.2,78.08,56.02
AO602067,2021-02-05 10:12:13,1.0,1.0,73.5,0.04,WPG,6.45,2024-08-15 00:00:00,US939648AE19,2021-02-15 10:12:13,0.58,0.15,76.12,65.64
AZ988248,2021-02-04 16:41:23,1.0,1.0,98.52,0.02,OXY,1.67,2022-08-15 00:00:00,US674599CQ64,2021-02-14 16:41:23,0.61,0.15,100.72,91.93
