ticker,date,pred,side,close,trgt,name,cpn,maturity,t1,signal,profit_take,stop_loss
AS367429,2021-01-27,1.0,1.0,80.131,0.01905420680993175,WEWORK,7.875,2025-05-01,2021-02-06,0.4,81.65783264588664,77.07733470822672
AP524368,2021-01-27,1.0,1.0,92.375,0.029874310191239324,VRI,8.75,2023-04-15,2021-02-06,0.35000000000000003,95.13463940391573,86.85572119216853
AO337996,2021-01-27,1.0,1.0,93.611,0.05727281436385559,NGL,7.5,2023-11-01,2021-02-06,0.25,98.97236542541489,82.88826914917024
EJ023585,2021-01-27,1.0,-1.0,95.382,0.01174469050681585,RPLLLC,7.75,2022-04-01,2021-02-06,-0.05,94.2617679300789,97.62246413984222
BN028933,2021-01-27,1.0,-1.0,93.663,0.012847860394692823,GEL,8.0,2027-01-15,2021-02-06,-0.25,92.45963085185188,96.06973829629624
