ticker,date,pred,side,close,trgt,name,cpn,maturity,t1,signal,profit_take,stop_loss
AO337996,2021-02-04 14:39:48,1.0,1.0,93.5,0.03953102599440034,NGL,7.5,2023-11-01 00:00:00.000000,2021-02-12 14:13:58.068921,0.15000000000000002,97.19615093047643,86.10769813904713
EJ444912,2021-02-02 21:25:44,1.0,1.0,98.5,0.01365622342265429,M,2.875,2023-02-15 00:00:00.000000,2021-02-12 14:13:58.068921,0.05,99.84513800713144,95.80972398573711
