ticker,date,pred,side,close,trgt,name,cpn,maturity,ISIN,t1,score,signal,profit_take,stop_loss
AO654246,2021-02-04 15:07:20,1.0,1.0,79.0,0.05,GPOR,6.0,2024-10-15 00:00:00,US402635AH93,2021-02-14 15:07:20,0.7,0.35,82.88,71.24
AO654249,2021-02-04 15:07:20,1.0,1.0,79.0,0.08,GPOR,6.38,2025-05-15 00:00:00,US402635AL06,2021-02-14 15:07:20,0.65,0.35,85.07,66.86
AN418126,2021-02-04 16:12:59,1.0,1.0,72.68,0.07,CPE,6.12,2024-10-01 00:00:00,US13123XAT90,2021-02-14 16:12:59,0.62,0.1,77.75,62.53
AO337996,2021-02-04 16:53:39,1.0,1.0,93.75,0.03,NGL,7.5,2023-11-01 00:00:00,US62913TAJ16,2021-02-14 16:53:39,0.57,0.1,96.5,88.25
ZP300076,2021-02-03 16:47:01,1.0,1.0,92.75,0.08,LPI,9.5,2025-01-15 00:00:00,US516806AF38,2021-02-13 16:47:01,0.57,0.1,99.86,78.52
AP654325,2021-02-04 13:38:00,1.0,1.0,68.0,0.03,PBFENE,7.25,2025-06-15 00:00:00,US69318FAG37,2021-02-14 13:38:00,0.5,0.0,70.14,63.72
