ticker,date,pred,side,close,trgt,name,cpn,maturity,ISIN,t1,score,signal,profit_take,stop_loss
AO602067,2021-02-16 08:05:23,1.0,1.0,60.0,0.09,WPG,6.45,2024-08-15 00:00:00,US939648AE19,2021-02-26 08:05:23,0.71,0.35,65.57,43.28
QZ203555,2021-02-11 13:58:55,1.0,1.0,100.83,0.01,MUR,6.88,2024-08-15 00:00:00,US626717AH56,2021-02-21 13:58:55,0.71,0.35,102.33,96.32
AO654246,2021-02-11 16:43:53,1.0,1.0,90.25,0.07,GPOR,6.0,2024-10-15 00:00:00,US402635AH93,2021-02-21 16:43:53,0.66,0.3,96.33,72.01
AN418126,2021-02-12 14:19:49,1.0,1.0,78.25,0.06,CPE,6.12,2024-10-01 00:00:00,US13123XAT90,2021-02-22 14:19:49,0.65,0.25,83.11,63.67
AO654249,2021-02-11 16:43:34,1.0,1.0,90.25,0.08,GPOR,6.38,2025-05-15 00:00:00,US402635AL06,2021-02-21 16:43:34,0.61,0.15,97.44,68.67
