ticker,date_time,price
AS367429,2020-11-09,70.5
AS367429,2020-11-10,70.125
AS367429,2020-11-12,70
AS367429,2020-11-25,68.25
AS367429,2020-12-01,69.3
AS367429,2021-01-07,68.147
AS367429,2021-01-11,69
AS367429,2021-01-12,68.298
AS367429,2021-01-13,69
AS367429,2021-01-14,69.6
AS367429,2021-01-15,70.75
AS367429,2021-01-19,73.25
AS367429,2021-01-20,75.16
AS367429,2021-01-22,76.5
AS367429,2021-01-25,80
AS367429,2021-01-26,80.25
AS367429,2021-01-27,77.969
AS367429,2021-01-28,89.625
AS367429,2021-01-29,89.11
AS367429,2021-02-01,83.75
AS367429,2021-02-02,84.875
AS367429,2021-02-03,85.239
AS367429,2021-02-04,84.75
AS367429,2021-02-05,84.625
AS367429,2021-02-10,83.8125
AS367429,2021-02-19,85
AS367429,2021-02-23,89.25
LW197076,2020-06-17,71
LW197076,2020-11-05,79.638
LW197076,2021-01-27,98.75
LW197076,2021-02-11,102
ZQ635622,2020-09-09,52.25
ZQ635622,2020-12-02,63.9
ZQ635622,2020-12-29,81.25
ZQ635622,2021-01-06,80.125
ZQ635622,2021-01-07,81.37
ZQ635622,2021-01-14,80.875
ZQ635622,2021-01-27,89.05
ZQ635622,2021-02-02,90.35
ZQ635622,2021-02-03,89.184
ZQ635622,2021-02-16,93.67
ZQ635622,2021-02-22,92.9
ZS276687,2020-06-09,65
ZS276687,2020-12-03,71.25
AL094029,2020-06-29 12:20:08+00:00,77.75
QZ203555,2020-06-29 13:18:43+00:00,94.123
QZ203555,2020-06-29 13:18:51+00:00,93.6
QZ203555,2020-06-29 13:18:51+00:00,94.1
AO602067,2020-06-29 13:26:40+00:00,55.16
AO602067,2020-06-29 13:26:43+00:00,54.66
AO602067,2020-06-29 13:26:44+00:00,55.16
ZR630910,2020-06-29 13:44:23+00:00,98.008
ZR630910,2020-06-29 13:44:23+00:00,98.07
AO654249,2020-06-29 14:00:27+00:00,50.01
AL094029,2020-06-29 14:01:29+00:00,74.2
AZ988248,2020-06-29 14:03:52+00:00,89.944
AZ988248,2020-06-29 14:03:52+00:00,90.064
AO602067,2020-06-29 14:09:33+00:00,55.064
ZR630910,2020-06-29 14:11:55+00:00,98.005
ZR630910,2020-06-29 14:11:55+00:00,98.05
AP654325,2020-06-29 14:11:59+00:00,93.47
AP654325,2020-06-29 14:13:39+00:00,92.766
AU307195,2020-06-29 14:24:02+00:00,40.5
AU307195,2020-06-29 14:24:11+00:00,40.5
AU307195,2020-06-29 14:24:11+00:00,40.6
QZ203555,2020-06-29 14:37:31+00:00,93.75
ZR630910,2020-06-29 14:40:23+00:00,98.0
ZR630910,2020-06-29 14:40:23+00:00,97.9
ZR630910,2020-06-29 14:41:22+00:00,98.468
AP654325,2020-06-29 14:46:06+00:00,94.5
EJ444912,2020-06-29 14:50:43+00:00,75.125
EJ444912,2020-06-29 14:50:43+00:00,74.5
EJ444912,2020-06-29 14:55:13+00:00,78.0
EJ444912,2020-06-29 14:55:22+00:00,78.2
EK860033,2020-06-29 14:57:50+00:00,40.105
ZR630910,2020-06-29 15:00:48+00:00,98.3
ZR630910,2020-06-29 15:00:49+00:00,98.3
AL094029,2020-06-29 15:14:07+00:00,74.21
AL094029,2020-06-29 15:15:07+00:00,74.21
BK128013,2020-06-29 15:16:24+00:00,100.0
AO654249,2020-06-29 15:17:45+00:00,45.88
AO654249,2020-06-29 15:17:45+00:00,45.78
AO654249,2020-06-29 15:17:45+00:00,45.745
AP654325,2020-06-29 15:28:07+00:00,92.662
AO040513,2020-06-29 15:37:49+00:00,93.0
AO040513,2020-06-29 15:38:06+00:00,93.1
AO040513,2020-06-29 15:38:06+00:00,93.0
AO337996,2020-06-29 15:50:10+00:00,78.695
AO337996,2020-06-29 15:50:12+00:00,78.795
AP654325,2020-06-29 15:57:27+00:00,92.07
AP654325,2020-06-29 15:57:27+00:00,92.1
EJ444912,2020-06-29 15:58:02+00:00,79.98
AP654325,2020-06-29 15:58:48+00:00,93.93
AO602067,2020-06-29 16:04:55+00:00,55.16
AP654325,2020-06-29 16:05:38+00:00,94.0
AP654325,2020-06-29 16:09:16+00:00,96.5
ZR630910,2020-06-29 16:13:12+00:00,98.713
ZR630910,2020-06-29 16:13:16+00:00,98.813
ZR630910,2020-06-29 16:13:31+00:00,98.713
AO181459,2020-06-29 16:16:40+00:00,84.5
AO181459,2020-06-29 16:16:50+00:00,84.4
AP654325,2020-06-29 16:26:51+00:00,96.0
AP654325,2020-06-29 16:26:58+00:00,96.0
AP654325,2020-06-29 16:27:11+00:00,96.0
AO181459,2020-06-29 16:27:34+00:00,81.97
AU307195,2020-06-29 16:29:34+00:00,39.502
ZR630910,2020-06-29 16:32:07+00:00,97.534
ZR630910,2020-06-29 16:32:35+00:00,96.789
ZP300076,2020-06-29 16:34:52+00:00,70.52
AO337996,2020-06-29 16:36:37+00:00,81.0
AO337996,2020-06-29 16:36:38+00:00,80.8
AO337996,2020-06-29 16:36:38+00:00,80.9
ZR630910,2020-06-29 16:40:31+00:00,98.61
AO602067,2020-06-29 16:45:29+00:00,55.16
AO602067,2020-06-29 16:45:30+00:00,55.16
AO602067,2020-06-29 16:45:37+00:00,54.66
AO602067,2020-06-29 16:45:38+00:00,55.16
AN418126,2020-06-29 16:46:21+00:00,35.058
AN418126,2020-06-29 16:46:21+00:00,35.1
ZR630910,2020-06-29 17:01:28+00:00,97.089
ZR630910,2020-06-29 17:01:28+00:00,96.989
AO654246,2020-06-29 17:04:25+00:00,51.97
QZ203555,2020-06-29 17:04:39+00:00,92.155
QZ203555,2020-06-29 17:04:40+00:00,92.109
ZR630910,2020-06-29 17:05:33+00:00,99.145
AO602067,2020-06-29 17:14:04+00:00,55.06
AO602067,2020-06-29 17:14:09+00:00,55.06
AO602067,2020-06-29 17:15:31+00:00,54.66
AO602067,2020-06-29 17:15:31+00:00,55.16
AP654325,2020-06-29 17:18:29+00:00,90.47
AP654325,2020-06-29 17:21:06+00:00,92.75
AO602067,2020-06-29 17:21:41+00:00,56.5
AP654325,2020-06-29 17:26:51+00:00,93.43
AP654325,2020-06-29 17:33:37+00:00,96.0
AP654325,2020-06-29 17:34:51+00:00,93.5
AP654325,2020-06-29 17:39:27+00:00,90.502
AP654325,2020-06-29 17:55:10+00:00,93.062
ZR630910,2020-06-29 17:57:39+00:00,97.75
AO181459,2020-06-29 18:07:45+00:00,86.5
AO181459,2020-06-29 18:07:55+00:00,86.0
AO181459,2020-06-29 18:07:55+00:00,85.9
BK128013,2020-06-29 18:09:47+00:00,99.875
AL094029,2020-06-29 18:20:28+00:00,74.132
QZ203555,2020-06-29 18:23:01+00:00,92.55
QZ203555,2020-06-29 18:23:01+00:00,92.75
AP654325,2020-06-29 18:34:29+00:00,92.75
AP654325,2020-06-29 18:34:36+00:00,93.0
QZ203555,2020-06-29 18:46:16+00:00,93.5
BK128013,2020-06-29 19:00:45+00:00,100.375
AP654325,2020-06-29 19:03:15+00:00,92.585
AP654325,2020-06-29 19:07:00+00:00,94.435
AO602067,2020-06-29 19:15:57+00:00,55.06
AO602067,2020-06-29 19:15:58+00:00,54.96
ZR630910,2020-06-29 19:21:13+00:00,98.738
ZR630910,2020-06-29 19:21:13+00:00,98.838
ZR630910,2020-06-29 19:21:53+00:00,98.938
AN418126,2020-06-29 19:24:34+00:00,36.5
EJ444912,2020-06-29 19:26:17+00:00,76.938
EJ444912,2020-06-29 19:28:03+00:00,76.36
BK128013,2020-06-29 19:29:13+00:00,100.125
