ticker,date_time,ret,trgt,t1,bin,side,clfW,name,cpn,date_issued,maturity,curr,amt_out,convertible,industry_sector,industry_group,industry_subgroup,callable,call_schedule,ISIN,conId,close,ytm,spread,moody,avg_rating
AM730856,2020-09-02 15:01:18,0.012396494116508006,0.014172894661307188,2020-09-14 15:12:43,1.0,-1.0,0.5256187752063023,NAVI,6.5,2017-03-02 00:00:00,2022-06-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US63938CAF59,268741270,104.535,0.03873689603805543,0.018736896038055426,3.0,3.5
AM730856,2020-09-14 15:12:43,0.024888955060919704,0.017096349513496853,2020-09-25 10:50:32,1.0,-1.0,0.6592220021997476,NAVI,6.5,2017-03-02 00:00:00,2022-06-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US63938CAF59,268741270,103.255,0.045634811592368055,0.025634811592368054,3.0,3.5
AM730856,2020-11-05 10:19:16,-0.00979243427399068,0.017211710893246055,2020-11-23 13:42:11,0.0,1.0,0.8853034888401008,NAVI,6.5,2017-03-02 00:00:00,2022-06-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US63938CAF59,268741270,106.25550000000001,0.02555781735498331,0.00555781735498331,3.0,3.5
AM730856,2020-11-23 13:42:11,7.603478591389212e-05,0.016904896498848392,2020-12-08 12:47:23,1.0,1.0,0.9181181911263756,NAVI,6.5,2017-03-02 00:00:00,2022-06-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US63938CAF59,268741270,105.215,0.030913949632644655,0.010913949632644655,3.0,3.5
AM730856,2020-11-30 14:54:05,-0.0032003798670462436,0.015222771106240061,2020-12-14 13:37:29,0.0,1.0,0.919280178503205,NAVI,6.5,2017-03-02 00:00:00,2022-06-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US63938CAF59,268741270,105.3,0.029976708269119273,0.009976708269119273,3.0,3.5
AM730856,2020-12-08 12:47:23,0.0038109538789050657,0.01377605750916337,2020-12-28 13:45:13,1.0,1.0,0.9493650107604303,NAVI,6.5,2017-03-02 00:00:00,2022-06-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US63938CAF59,268741270,105.223,0.030003946161270147,0.010003946161270146,3.0,3.5
AM730856,2020-12-14 13:37:29,0.006297457199203604,0.012556652571485818,2020-12-28 13:45:13,1.0,1.0,0.9776782699071553,NAVI,6.5,2017-03-02 00:00:00,2022-06-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US63938CAF59,268741270,104.963,0.03134985260963441,0.01134985260963441,3.0,3.5
AM730856,2020-12-18 12:17:34,0.015615384615384809,0.012122263184804168,2020-12-28 13:45:13,1.0,1.0,1.0,NAVI,6.5,2017-03-02 00:00:00,2022-06-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US63938CAF59,268741270,104.0,0.03751334810256958,0.01751334810256958,3.0,3.5
AM806385,2021-01-14 15:11:40,0.0034236467740982324,0.08480713605895926,2021-01-28 09:36:54,1.0,1.0,1.0,DAL,3.625,2017-03-09 00:00:00,2022-03-15 00:00:00,USD,1000000000.0,False,"Consumer, Cyclical",Airlines,Airlines,True,2022-02-15 100.0,US247361ZJ00,269284400,101.646,0.022026966810226443,0.002026966810226443,2.0,3.0
AN400460,2020-07-31 10:51:24,0.0016326048899462098,0.01051813172101365,2020-08-21 12:31:58,1.0,-1.0,1.0,IEP,6.25,2017-04-27 00:00:00,2022-02-01 00:00:00,USD,1204832000.0,False,Financial,Investment Companies,Investment Companies,True,2019-02-01 103.125 2020-02-01 101.563 2021-02-01 100.0,US451102BJ59,277274183,101.844,0.049801225662231455,0.029801225662231454,3.0,3.0
AN418126,2021-02-18 16:11:59,,0.0836907556508442,,,-1.0,,CPE,6.125,2017-04-28 00:00:00,2024-10-01 00:00:00,USD,596000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2019-10-01 104.594 2020-10-01 103.063 2021-10-01 101.531 2022-10-01 100.0,US13123XAT90,277783550,80.25,0.13061312418222423,0.08061312418222423,7.0,7.0
AN534799,2020-07-10 09:00:32,-0.02161137440758254,0.016016207124152786,2020-07-22 12:42:52,0.0,-1.0,0.519562707421211,OMF,6.125,2017-05-10 00:00:00,2022-05-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US85172FAK57,275733074,103.22,0.043113828182220454,0.023113828182220453,3.0,3.0
AN534799,2020-07-14 11:03:32,-0.020357610614429533,0.01099670300546109,2020-07-29 13:45:15,0.0,-1.0,0.7598612510127059,OMF,6.125,2017-05-10 00:00:00,2022-05-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US85172FAK57,275733074,103.221,0.04300509977340698,0.023005099773406982,3.0,3.0
AN534799,2020-07-16 11:06:32,-0.003378699011066022,0.011820939330837799,2020-07-29 13:45:15,0.0,-1.0,1.0,OMF,6.125,2017-05-10 00:00:00,2022-05-15 00:00:00,USD,1000000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US85172FAK57,275733074,105.01,0.033148476750988545,0.013148476750988545,3.0,3.0
AN732044,2020-07-22 09:52:19,-0.025298329355609495,0.01380913128354344,2020-08-03 16:50:22,0.0,-1.0,1.0,NAVI,6.75,2017-05-23 00:00:00,2025-06-25 00:00:00,USD,500000000.0,False,Financial,Diversified Finan Serv,Finance-Consumer Loans,False,,US63938CAH16,277354954,102.1,0.06251143503189087,0.012511435031890866,3.0,3.5
AN993603,2020-10-30 12:12:51,-0.030884440311291672,0.030021858996471782,2020-12-14 10:55:22,0.0,-1.0,0.7317694779797805,STWD,5.0,2017-06-14 00:00:00,2021-12-15 00:00:00,USD,699853000.0,False,Financial,REITS,REITS-Mortgage,True,2021-09-15 100.0,US85571BAG05,282527574,99.0,0.0591111741065979,0.039111174106597896,3.0,3.5
AN993603,2020-12-14 10:55:22,0.002748466257668669,0.026073682210637973,2021-01-05 16:55:54,1.0,-1.0,0.9784204237718342,STWD,5.0,2017-06-14 00:00:00,2021-12-15 00:00:00,USD,699853000.0,False,Financial,REITS,REITS-Mortgage,True,2021-09-15 100.0,US85571BAG05,282527574,102.155,0.028340726327896124,0.01834072632789612,3.0,3.5
